Frequency (Hz)	Level (dB)
1182.128906	-137.091995
1183.593750	-137.091797
1185.058594	-137.091537
1186.523438	-137.091492
1187.988281	-137.091248
1189.453125	-137.091110
1190.917969	-137.091064
1192.382813	-137.090820
1193.847656	-137.090652
1195.312500	-137.090515
1196.777344	-137.090347
1198.242188	-137.090393
1199.707031	-137.090240
1201.171875	-137.090210
1202.636719	-137.090134
1204.101563	-137.090073
1205.566406	-137.090057
1207.031250	-137.089996
1208.496094	-137.090027
1209.960938	-137.090042
1211.425781	-137.090103
1212.890625	-137.090118
1214.355469	-137.090088
1215.820313	-137.090164
1217.285156	-137.090256
1218.750000	-137.090256
1220.214844	-137.090347
1221.679688	-137.090469
1223.144531	-137.090591
1224.609375	-137.090683
1226.074219	-137.090897
1227.539063	-137.090912
1229.003906	-137.091049
1230.468750	-137.091171
1231.933594	-137.091324
1233.398438	-137.091431
1234.863281	-137.091553
1236.328125	-137.091721
1237.792969	-137.091690
1239.257813	-137.091919
1240.722656	-137.092148
1242.187500	-137.092178
1243.652344	-137.092468
1245.117188	-137.092484
1246.582031	-137.092682
1248.046875	-137.092651
1249.511719	-137.092972
1250.976563	-137.092957
1252.441406	-137.092957
1253.906250	-137.093048
1255.371094	-137.092773
1256.835938	-137.093002
1258.300781	-137.093048
1259.765625	-137.093124
1261.230469	-137.092972
1262.695313	-137.092789
1264.160156	-137.093262
1265.625000	-137.092773
1267.089844	-137.092651
1268.554688	-137.092560
1270.019531	-137.092377
1271.484375	-137.092163
1272.949219	-137.092056
1274.414063	-137.091782
1275.878906	-137.091476
1277.343750	-137.091309
1278.808594	-137.091095
1280.273438	-137.090622
1281.738281	-137.090546
1283.203125	-137.089951
1284.667969	-137.089584
1286.132813	-137.089279
1287.597656	-137.088776
1289.062500	-137.088409
1290.527344	-137.087952
1291.992188	-137.087463
1293.457031	-137.086945
1294.921875	-137.086456
1296.386719	-137.085999
1297.851563	-137.085434
1299.316406	-137.084915
1300.781250	-137.084396
1302.246094	-137.083832
1303.710938	-137.083344
1305.175781	-137.082596
1306.640625	-137.082138
1308.105469	-137.081467
1309.570313	-137.080963
1311.035156	-137.080383
1312.500000	-137.079727
1313.964844	-137.079208
1315.429688	-137.078537
1316.894531	-137.077957
1318.359375	-137.077469
1319.824219	-137.076904
1321.289063	-137.076324
1322.753906	-137.075836
1324.218750	-137.075348
1325.683594	-137.074753
1327.148438	-137.074203
1328.613281	-137.073700
1330.078125	-137.073303
1331.542969	-137.072891
1333.007813	-137.072220
1334.472656	-137.071884
1335.937500	-137.071533
1337.402344	-137.071014
1338.867188	-137.070679
1340.332031	-137.070313
1341.796875	-137.069931
1343.261719	-137.069580
1344.726563	-137.069229
1346.191406	-137.069107
1347.656250	-137.068756
1349.121094	-137.068497
1350.585938	-137.068237
1352.050781	-137.068039
1353.515625	-137.067841
1354.980469	-137.067566
1356.445313	-137.067505
1357.910156	-137.067383
1359.375000	-137.067200
1360.839844	-137.067139
1362.304688	-137.067062
1363.769531	-137.066956
1365.234375	-137.066910
1366.699219	-137.066742
1368.164063	-137.066772
1369.628906	-137.066757
1371.093750	-137.066788
1372.558594	-137.066742
1374.023438	-137.066803
1375.488281	-137.066803
1376.953125	-137.066895
1378.417969	-137.066910
1379.882813	-137.066940
1381.347656	-137.066986
1382.812500	-137.067062
1384.277344	-137.067154
1385.742188	-137.067154
1387.207031	-137.067307
1388.671875	-137.067322
1390.136719	-137.067474
1391.601563	-137.067551
1393.066406	-137.067596
1394.531250	-137.067749
1395.996094	-137.067749
1397.460938	-137.067871
1398.925781	-137.067902
1400.390625	-137.068146
1401.855469	-137.068085
1403.320313	-137.068222
1404.785156	-137.068253
1406.250000	-137.068420
1407.714844	-137.068283
1409.179688	-137.068375
1410.644531	-137.068527
1412.109375	-137.068649
1413.574219	-137.068649
1415.039063	-137.068649
1416.503906	-137.068756
1417.968750	-137.068756
1419.433594	-137.068756
1420.898438	-137.068756
1422.363281	-137.068787
1423.828125	-137.068802
1425.292969	-137.068802
1426.757813	-137.068756
1428.222656	-137.068771
1429.687500	-137.068710
1431.152344	-137.068695
1432.617188	-137.068726
1434.082031	-137.068619
1435.546875	-137.068619
1437.011719	-137.068512
1438.476563	-137.068405
1439.941406	-137.068466
1441.406250	-137.068359
1442.871094	-137.068344
1444.335938	-137.068207
1445.800781	-137.068161
1447.265625	-137.068024
1448.730469	-137.067902
1450.195313	-137.067841
1451.660156	-137.067703
1453.125000	-137.067581
1454.589844	-137.067459
1456.054688	-137.067368
1457.519531	-137.067230
1458.984375	-137.067093
